Drug,Medium,Donor,run,Day,phylum,relative_abundance,relative_abundance_log10
carbadox,MGAM,MB003,run1,day 4,p__Planctomycetes,0,-6
carbadox,MGAM,MB003,run1,day 4,p__Proteobacteria,0.004740695429434366,-2.3240663452469135
carbadox,MGAM,MB003,run1,day 4,p__Spirochaetes,1.9115707376751476e-5,-4.696464690688138
carbadox,MGAM,MB003,run1,day 4,p__Synergistetes,0,-6
carbadox,MGAM,MB003,run1,day 4,p__Tenericutes,0,-6
carbadox,MGAM,MB003,run1,day 4,p__Thermobaculum[phylum],0,-6
carbadox,MGAM,MB003,run1,day 4,p__Thermodesulfobacteria,0,-6
carbadox,MGAM,MB003,run1,day 4,p__Thermotogae,0,-6
carbadox,MGAM,MB003,run1,day 4,p__Verrucomicrobia,0,-6
carbadox,MGAM,MB003,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
carbadox,MGAM,MB003,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
carbadox,MGAM,MB003,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
carbadox,MGAM,MB003,run1,day 4,p__phototrophic bacterium[phylum],0,-6
carbadox,MGAM,MB005,run1,day 4,p__Acidobacteria,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Actinobacteria,0.923415752787049,-0.034602250667514094
carbadox,MGAM,MB005,run1,day 4,p__Aquificae,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Bacteroidetes,0.003133301546216198,-2.5038592230691483
carbadox,MGAM,MB005,run1,day 4,p__Balneolaeota,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Caldiserica,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Calditrichaeota,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Chlamydiae,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Chlorobi,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Chloroflexi,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Chrysiogenetes,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Crenarchaeota,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Cyanobacteria,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Deferribacteres,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Deinococcus-Thermus,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Dictyoglomi,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Elusimicrobia,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Euryarchaeota,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Fibrobacteres,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Firmicutes,0.05755738709897146,-1.2398913843641814
carbadox,MGAM,MB005,run1,day 4,p__Fusobacteria,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Gemmatimonadetes,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Ignavibacteriae,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Lentisphaerae,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Nitrospirae,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Planctomycetes,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Proteobacteria,0.004086915060281997,-2.3884981366585842
carbadox,MGAM,MB005,run1,day 4,p__Spirochaetes,2.270508366823332e-5,-4.625158507479051
carbadox,MGAM,MB005,run1,day 4,p__Synergistetes,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Tenericutes,2.270508366823332e-5,-4.625158507479051
carbadox,MGAM,MB005,run1,day 4,p__Thermobaculum[phylum],0,-6
carbadox,MGAM,MB005,run1,day 4,p__Thermodesulfobacteria,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Thermotogae,0,-6
carbadox,MGAM,MB005,run1,day 4,p__Verrucomicrobia,0,-6
carbadox,MGAM,MB005,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
carbadox,MGAM,MB005,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
carbadox,MGAM,MB005,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
carbadox,MGAM,MB005,run1,day 4,p__phototrophic bacterium[phylum],0,-6
carbadox,MGAM,MB006,run3,day 4,p__Acidobacteria,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Actinobacteria,0.5759458965454213,-0.2396175575498207
carbadox,MGAM,MB006,run3,day 4,p__Aquificae,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Bacteroidetes,0.029664433859817003,-1.5277492956816061
carbadox,MGAM,MB006,run3,day 4,p__Balneolaeota,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Caldiserica,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Calditrichaeota,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Chlamydiae,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Chlorobi,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Chloroflexi,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Chrysiogenetes,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Crenarchaeota,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Cyanobacteria,3.225563667250852e-5,-4.478134733269301
carbadox,MGAM,MB006,run3,day 4,p__Deferribacteres,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Deinococcus-Thermus,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Dictyoglomi,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Elusimicrobia,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Euryarchaeota,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Fibrobacteres,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Firmicutes,0.23335877944670833,-0.6319739943470831
carbadox,MGAM,MB006,run3,day 4,p__Fusobacteria,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Gemmatimonadetes,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Ignavibacteriae,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Lentisphaerae,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Nitrospirae,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Planctomycetes,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Proteobacteria,0.15819239412087263,-0.8008116558367768
carbadox,MGAM,MB006,run3,day 4,p__Spirochaetes,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Synergistetes,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Tenericutes,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Thermobaculum[phylum],0,-6
carbadox,MGAM,MB006,run3,day 4,p__Thermodesulfobacteria,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Thermotogae,0,-6
carbadox,MGAM,MB006,run3,day 4,p__Verrucomicrobia,0,-6
carbadox,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
carbadox,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
carbadox,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
carbadox,MGAM,MB006,run3,day 4,p__phototrophic bacterium[phylum],0,-6
carbadox,MGAM,MB007,run3,day 4,p__Acidobacteria,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Actinobacteria,0.3550536494899987,-0.4497047958313778
carbadox,MGAM,MB007,run3,day 4,p__Aquificae,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Bacteroidetes,0.37162538084514507,-0.42989346408417983
carbadox,MGAM,MB007,run3,day 4,p__Balneolaeota,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Caldiserica,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Calditrichaeota,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Chlamydiae,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Chlorobi,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Chloroflexi,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Chrysiogenetes,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Crenarchaeota,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Cyanobacteria,1.3246787653993906e-5,-4.846283048737273
carbadox,MGAM,MB007,run3,day 4,p__Deferribacteres,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Deinococcus-Thermus,1.3246787653993906e-5,-4.846283048737273
carbadox,MGAM,MB007,run3,day 4,p__Dictyoglomi,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Elusimicrobia,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Euryarchaeota,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Fibrobacteres,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Firmicutes,0.10018545502715591,-0.999190990091491
carbadox,MGAM,MB007,run3,day 4,p__Fusobacteria,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Gemmatimonadetes,1.3246787653993906e-5,-4.846283048737273
carbadox,MGAM,MB007,run3,day 4,p__Ignavibacteriae,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Lentisphaerae,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Nitrospirae,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Planctomycetes,1.3246787653993906e-5,-4.846283048737273
carbadox,MGAM,MB007,run3,day 4,p__Proteobacteria,0.1685256325341105,-0.7733314571153148
carbadox,MGAM,MB007,run3,day 4,p__Spirochaetes,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Synergistetes,1.3246787653993906e-5,-4.846283048737273
carbadox,MGAM,MB007,run3,day 4,p__Tenericutes,2.6493575307987812e-5,-4.5607687801432295
carbadox,MGAM,MB007,run3,day 4,p__Thermobaculum[phylum],0,-6
carbadox,MGAM,MB007,run3,day 4,p__Thermodesulfobacteria,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Thermotogae,0,-6
carbadox,MGAM,MB007,run3,day 4,p__Verrucomicrobia,0,-6
carbadox,MGAM,MB007,run3,day 4,p__marine bacterium SIMO-4474[phylum],1.3246787653993906e-5,-4.846283048737273
carbadox,MGAM,MB007,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
carbadox,MGAM,MB007,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
carbadox,MGAM,MB007,run3,day 4,p__phototrophic bacterium[phylum],0,-6
cefixime,MGAM,MB001,run1,day 4,p__Acidobacteria,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Actinobacteria,0.0015912770344130955,-2.797981368727899
cefixime,MGAM,MB001,run1,day 4,p__Aquificae,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Bacteroidetes,0.6376454634767328,-0.1954200446603281
cefixime,MGAM,MB001,run1,day 4,p__Balneolaeota,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Caldiserica,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Calditrichaeota,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Chlamydiae,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Chlorobi,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Chloroflexi,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Chrysiogenetes,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Crenarchaeota,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Cyanobacteria,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Deferribacteres,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Deinococcus-Thermus,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Dictyoglomi,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Elusimicrobia,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Euryarchaeota,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Fibrobacteres,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Firmicutes,0.33959235633535817,-0.4690408147034585
cefixime,MGAM,MB001,run1,day 4,p__Fusobacteria,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Gemmatimonadetes,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Ignavibacteriae,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Lentisphaerae,1.3837191603592135e-5,-4.828648294911833
cefixime,MGAM,MB001,run1,day 4,p__Nitrospirae,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Planctomycetes,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Proteobacteria,0.00103778937026941,-2.9834725030713822
cefixime,MGAM,MB001,run1,day 4,p__Spirochaetes,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Synergistetes,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Tenericutes,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Thermobaculum[phylum],0,-6
cefixime,MGAM,MB001,run1,day 4,p__Thermodesulfobacteria,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Thermotogae,0,-6
cefixime,MGAM,MB001,run1,day 4,p__Verrucomicrobia,2.352322572610663e-4,-3.626660800228128
cefixime,MGAM,MB001,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
cefixime,MGAM,MB001,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
cefixime,MGAM,MB001,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
cefixime,MGAM,MB001,run1,day 4,p__phototrophic bacterium[phylum],0,-6
cefixime,MGAM,MB002,run1,day 4,p__Acidobacteria,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Actinobacteria,0.1277182617361284,-0.8937436005056923
cefixime,MGAM,MB002,run1,day 4,p__Aquificae,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Bacteroidetes,0.5975193081111863,-0.2236473296254391
cefixime,MGAM,MB002,run1,day 4,p__Balneolaeota,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Caldiserica,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Calditrichaeota,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Chlamydiae,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Chlorobi,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Chloroflexi,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Chrysiogenetes,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Crenarchaeota,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Cyanobacteria,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Deferribacteres,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Deinococcus-Thermus,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Dictyoglomi,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Elusimicrobia,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Euryarchaeota,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Fibrobacteres,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Firmicutes,0.2681603018115813,-0.5716038947256308
cefixime,MGAM,MB002,run1,day 4,p__Fusobacteria,1.7795494180873403e-5,-4.72594625110447
cefixime,MGAM,MB002,run1,day 4,p__Gemmatimonadetes,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Ignavibacteriae,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Lentisphaerae,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Nitrospirae,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Planctomycetes,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Proteobacteria,0.0011745026159376446,-2.9297764000685866
cefixime,MGAM,MB002,run1,day 4,p__Spirochaetes,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Synergistetes,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Tenericutes,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Thermobaculum[phylum],0,-6
cefixime,MGAM,MB002,run1,day 4,p__Thermodesulfobacteria,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Thermotogae,0,-6
cefixime,MGAM,MB002,run1,day 4,p__Verrucomicrobia,0,-6
cefixime,MGAM,MB002,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
cefixime,MGAM,MB002,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
cefixime,MGAM,MB002,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
cefixime,MGAM,MB002,run1,day 4,p__phototrophic bacterium[phylum],0,-6
cefixime,MGAM,MB003,run1,day 4,p__Acidobacteria,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Actinobacteria,0.18169494490117194,-0.7406547651889205
cefixime,MGAM,MB003,run1,day 4,p__Aquificae,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Bacteroidetes,0.49004431228499795,-0.3097637608582201
cefixime,MGAM,MB003,run1,day 4,p__Balneolaeota,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Caldiserica,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Calditrichaeota,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Chlamydiae,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Chlorobi,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Chloroflexi,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Chrysiogenetes,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Crenarchaeota,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Cyanobacteria,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Deferribacteres,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Deinococcus-Thermus,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Dictyoglomi,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Elusimicrobia,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Euryarchaeota,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Fibrobacteres,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Firmicutes,0.3117894000349834,-0.506137260782896
cefixime,MGAM,MB003,run1,day 4,p__Fusobacteria,1.4576409538802402e-5,-4.8075326427602505
cefixime,MGAM,MB003,run1,day 4,p__Gemmatimonadetes,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Ignavibacteriae,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Lentisphaerae,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Nitrospirae,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Planctomycetes,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Proteobacteria,0.0025508716692904205,-2.5931411695748516
cefixime,MGAM,MB003,run1,day 4,p__Spirochaetes,1.4576409538802402e-5,-4.8075326427602505
cefixime,MGAM,MB003,run1,day 4,p__Synergistetes,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Tenericutes,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Thermobaculum[phylum],0,-6
cefixime,MGAM,MB003,run1,day 4,p__Thermodesulfobacteria,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Thermotogae,0,-6
cefixime,MGAM,MB003,run1,day 4,p__Verrucomicrobia,0,-6
cefixime,MGAM,MB003,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
cefixime,MGAM,MB003,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
cefixime,MGAM,MB003,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
cefixime,MGAM,MB003,run1,day 4,p__phototrophic bacterium[phylum],0,-6
cefixime,MGAM,MB005,run1,day 4,p__Acidobacteria,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Actinobacteria,0.03124795818360013,-1.5051644571248912
cefixime,MGAM,MB005,run1,day 4,p__Aquificae,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Bacteroidetes,0.4856419470761189,-0.3136829140797676
cefixime,MGAM,MB005,run1,day 4,p__Balneolaeota,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Caldiserica,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Calditrichaeota,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Chlamydiae,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Chlorobi,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Chloroflexi,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Chrysiogenetes,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Crenarchaeota,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Cyanobacteria,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Deferribacteres,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Deinococcus-Thermus,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Dictyoglomi,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Elusimicrobia,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Euryarchaeota,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Fibrobacteres,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Firmicutes,0.4727866710225416,-0.3253338571621036
cefixime,MGAM,MB005,run1,day 4,p__Fusobacteria,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Gemmatimonadetes,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Ignavibacteriae,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Lentisphaerae,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Nitrospirae,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Planctomycetes,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Proteobacteria,0.0013067624959163672,-2.883471121515325
cefixime,MGAM,MB005,run1,day 4,p__Spirochaetes,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Synergistetes,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Tenericutes,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Thermobaculum[phylum],0,-6
cefixime,MGAM,MB005,run1,day 4,p__Thermodesulfobacteria,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Thermotogae,0,-6
cefixime,MGAM,MB005,run1,day 4,p__Verrucomicrobia,0,-6
cefixime,MGAM,MB005,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
cefixime,MGAM,MB005,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
cefixime,MGAM,MB005,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
cefixime,MGAM,MB005,run1,day 4,p__phototrophic bacterium[phylum],0,-6
cefixime,MGAM,MB006,run3,day 4,p__Acidobacteria,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Actinobacteria,0.25681277607883113,-0.5903816834281524
cefixime,MGAM,MB006,run3,day 4,p__Aquificae,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Bacteroidetes,0.3110431532449881,-0.5071779577590342
cefixime,MGAM,MB006,run3,day 4,p__Balneolaeota,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Caldiserica,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Calditrichaeota,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Chlamydiae,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Chlorobi,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Chloroflexi,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Chrysiogenetes,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Crenarchaeota,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Cyanobacteria,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Deferribacteres,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Deinococcus-Thermus,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Dictyoglomi,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Elusimicrobia,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Euryarchaeota,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Fibrobacteres,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Firmicutes,0.3860799637558047,-0.4133216113249872
cefixime,MGAM,MB006,run3,day 4,p__Fusobacteria,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Gemmatimonadetes,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Ignavibacteriae,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Lentisphaerae,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Nitrospirae,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Planctomycetes,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Proteobacteria,0.0418054139766678,-1.3787570832732463
cefixime,MGAM,MB006,run3,day 4,p__Spirochaetes,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Synergistetes,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Tenericutes,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Thermobaculum[phylum],0,-6
cefixime,MGAM,MB006,run3,day 4,p__Thermodesulfobacteria,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Thermotogae,0,-6
cefixime,MGAM,MB006,run3,day 4,p__Verrucomicrobia,0,-6
cefixime,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
cefixime,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
cefixime,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
cefixime,MGAM,MB006,run3,day 4,p__phototrophic bacterium[phylum],0,-6
cefixime,MGAM,MB007,run3,day 4,p__Acidobacteria,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Actinobacteria,0.06253812935870905,-1.2038481691010858
cefixime,MGAM,MB007,run3,day 4,p__Aquificae,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Bacteroidetes,0.2263478354486405,-0.6452217355823819
cefixime,MGAM,MB007,run3,day 4,p__Balneolaeota,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Caldiserica,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Calditrichaeota,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Chlamydiae,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Chlorobi,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Chloroflexi,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Chrysiogenetes,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Crenarchaeota,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Cyanobacteria,1.1962151751857123e-5,-4.887322898435377
cefixime,MGAM,MB007,run3,day 4,p__Deferribacteres,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Deinococcus-Thermus,1.1962151751857123e-5,-4.887322898435377
cefixime,MGAM,MB007,run3,day 4,p__Dictyoglomi,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Elusimicrobia,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Euryarchaeota,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Fibrobacteres,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Firmicutes,0.7062215151261408,-0.15105844078145889
cefixime,MGAM,MB007,run3,day 4,p__Fusobacteria,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Gemmatimonadetes,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Ignavibacteriae,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Lentisphaerae,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Nitrospirae,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Planctomycetes,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Proteobacteria,2.990537937964281e-4,-3.5228008777649467
cefixime,MGAM,MB007,run3,day 4,p__Spirochaetes,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Synergistetes,1.1962151751857123e-5,-4.887322898435377
cefixime,MGAM,MB007,run3,day 4,p__Tenericutes,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Thermobaculum[phylum],0,-6
cefixime,MGAM,MB007,run3,day 4,p__Thermodesulfobacteria,0,-6
cefixime,MGAM,MB007,run3,day 4,p__Thermotogae,0,-6
